,MouseID,Tissue,Treatment,Age,Class,Frequency
80,OM7-MS,M,NT,Old,Total_SNV_Freq,1.9484456015421e-06
81,OM8-MS,M,NT,Old,Total_SNV_Freq,2.85554947227648e-06
82,JW24-LF,R,NT,Old,Total_SNV_Freq,3.45602981407905e-06
83,JW24-NP,R,NT,Old,Total_SNV_Freq,3.20540397662766e-06
84,JW24-R,R,NT,Old,Total_SNV_Freq,3.20965665845074e-06
85,JW26-NP,R,NT,Old,Total_SNV_Freq,3.76998161876135e-06
86,OM7-MS,R,NT,Old,Total_SNV_Freq,3.02405580390977e-06
87,OM8-MS,R,NT,Old,Total_SNV_Freq,2.96667026223038e-06
88,OM3-MS-P,B,perf,Old,Total_SNV_Freq,3.06292467658219e-06
89,OM4-MS-P,B,perf,Old,Total_SNV_Freq,3.20297810738159e-06
90,OM6-MS-P,B,perf,Old,Total_SNV_Freq,2.90267567757646e-06
91,OM3-MS-P,C,perf,Old,Total_SNV_Freq,1.72387804539322e-06
92,OM4-MS-P,C,perf,Old,Total_SNV_Freq,2.74438029201403e-06
93,OM6-MS-P,C,perf,Old,Total_SNV_Freq,2.34493928801092e-06
94,OM3-MS-P,Hi,perf,Old,Total_SNV_Freq,3.04385823235623e-06
95,OM4-MS-P,Hi,perf,Old,Total_SNV_Freq,3.31359468372549e-06
96,OM6-MS-P,Hi,perf,Old,Total_SNV_Freq,2.16619919636718e-06
97,OM3-MS-P,K,perf,Old,Total_SNV_Freq,6.15870529752381e-06
98,OM4-MS-P,K,perf,Old,Total_SNV_Freq,5.86914383850304e-06
99,OM6-MS-P,K,perf,Old,Total_SNV_Freq,8.34298656073649e-06
100,OM3-MS-P,L,perf,Old,Total_SNV_Freq,4.0296529668144e-06
101,OM4-MS-P,L,perf,Old,Total_SNV_Freq,4.72755836900797e-06
102,OM6-MS-P,L,perf,Old,Total_SNV_Freq,4.88505763788184e-06
103,OM3-MS-P,M,perf,Old,Total_SNV_Freq,2.07592888137923e-06
104,OM4-MS-P,M,perf,Old,Total_SNV_Freq,1.7981819686262e-06
105,OM6-MS-P,M,perf,Old,Total_SNV_Freq,1.75426576415904e-06
106,JW21-NP,C,SS31,Old,Total_SNV_Freq,2.32654379858293e-06
107,JW21-R,C,SS31,Old,Total_SNV_Freq,1.72659882293145e-06
108,JW22-LF,C,SS31,Old,Total_SNV_Freq,1.88144072196118e-06
109,JW22-NP,C,SS31,Old,Total_SNV_Freq,2.51336508062509e-06
110,JW55-RB,C,SS31,Old,Total_SNV_Freq,1.57450928470723e-06
111,JW21-NP,RC,SS31,Old,Total_SNV_Freq,3.38649134353709e-06
112,JW21-R,RC,SS31,Old,Total_SNV_Freq,5.50020242901881e-06
113,JW22-LF,RC,SS31,Old,Total_SNV_Freq,3.02570236556243e-06
114,JW22-NP,RC,SS31,Old,Total_SNV_Freq,3.48451493157377e-06
115,JW55-RB,RC,SS31,Old,Total_SNV_Freq,4.43915132305006e-06
116,JW21-NP,He,SS31,Old,Total_SNV_Freq,1.24343123505837e-06
117,JW21-R,He,SS31,Old,Total_SNV_Freq,1.37523941766228e-06
118,JW22-LF,He,SS31,Old,Total_SNV_Freq,1.51888277944974e-06
119,JW22-NP,He,SS31,Old,Total_SNV_Freq,1.54510573656526e-06
120,JW55-RB,He,SS31,Old,Total_SNV_Freq,1.19162210161138e-06
121,JW21-NP,Hi,SS31,Old,Total_SNV_Freq,2.58887076257257e-06
122,JW21-R,Hi,SS31,Old,Total_SNV_Freq,2.9480037558914e-06
123,JW22-LF,Hi,SS31,Old,Total_SNV_Freq,3.09333648227914e-06
124,JW22-NP,Hi,SS31,Old,Total_SNV_Freq,3.11290463295369e-06
125,JW55-RB,Hi,SS31,Old,Total_SNV_Freq,2.77458540966011e-06
126,JW21-NP,K,SS31,Old,Total_SNV_Freq,6.61276799507684e-06
127,JW21-R,K,SS31,Old,Total_SNV_Freq,5.47282547807759e-06
128,JW22-LF,K,SS31,Old,Total_SNV_Freq,6.37505896159191e-06
129,JW22-NP,K,SS31,Old,Total_SNV_Freq,6.00937588107934e-06
130,JW55-RB,K,SS31,Old,Total_SNV_Freq,4.67342706176951e-06
131,JW21-NP,L,SS31,Old,Total_SNV_Freq,4.52721878084411e-06
132,JW21-R,L,SS31,Old,Total_SNV_Freq,4.31968264961276e-06
