,MouseID,Tissue,Treatment,Age,Class,Frequency
349,YM7-MS,RC,NT,Young,A>T/T>A,6.10804750354195e-08
350,YM13-MS,He,NT,Young,A>T/T>A,2.95034109778534e-08
351,YM14-MS,He,NT,Young,A>T/T>A,4.94867077836876e-08
352,YM3-MS,He,NT,Young,A>T/T>A,3.04609262062943e-08
353,YM5-MS,He,NT,Young,A>T/T>A,2.85769414716805e-08
354,YM7-MS,He,NT,Young,A>T/T>A,1.51007551072188e-08
355,YM13-MS,Hi,NT,Young,A>T/T>A,3.01507348299404e-08
356,YM14-MS,Hi,NT,Young,A>T/T>A,3.57663557801373e-08
357,YM3-MS,Hi,NT,Young,A>T/T>A,3.9621509978915e-08
358,YM5-MS,Hi,NT,Young,A>T/T>A,7.28177049025954e-08
359,YM7-MS,Hi,NT,Young,A>T/T>A,5.85342342883652e-08
360,YM13-MS,K,NT,Young,A>T/T>A,5.49037119974178e-08
361,YM14-MS,K,NT,Young,A>T/T>A,3.50937932950483e-08
362,YM3-MS,K,NT,Young,A>T/T>A,5.5339043852277e-08
363,YM5-MS,K,NT,Young,A>T/T>A,1.05116455156942e-08
364,YM7-MS,K,NT,Young,A>T/T>A,1.69729720949657e-08
365,YM13-MS,L,NT,Young,A>T/T>A,3.3264712113127e-08
366,YM14-MS,L,NT,Young,A>T/T>A,5.34144144202852e-08
367,YM3-MS,L,NT,Young,A>T/T>A,6.23938213145779e-08
368,YM5-MS,L,NT,Young,A>T/T>A,5.77788715532159e-08
369,YM7-MS,L,NT,Young,A>T/T>A,1.86718705916881e-08
370,YM13-MS,M,NT,Young,A>T/T>A,3.83921269725923e-08
371,YM14-MS,M,NT,Young,A>T/T>A,1.95314865140945e-08
372,YM3-MS,M,NT,Young,A>T/T>A,0.0
373,YM5-MS,M,NT,Young,A>T/T>A,1.31568423625694e-08
374,YM7-MS,M,NT,Young,A>T/T>A,1.84687628733049e-08
375,YM13-MS,R,NT,Young,A>T/T>A,2.47457252996831e-08
376,YM14-MS,R,NT,Young,A>T/T>A,4.65476097505652e-08
377,YM3-MS,R,NT,Young,A>T/T>A,0.0
378,YM5-MS,R,NT,Young,A>T/T>A,3.8958415288853e-08
379,YM7-MS,R,NT,Young,A>T/T>A,4.55914690702003e-08
380,JW24-LF,C,NT,Old,A>T/T>A,2.74151311840072e-08
381,JW24-NP,C,NT,Old,A>T/T>A,5.32008054767463e-08
382,JW24-R,C,NT,Old,A>T/T>A,6.99831957128046e-08
383,JW26-NP,C,NT,Old,A>T/T>A,2.7915340180104e-08
384,OM7-MS,C,NT,Old,A>T/T>A,5.56962706361993e-08
385,OM8-MS,C,NT,Old,A>T/T>A,2.24414769481037e-08
386,JW24-LF,RC,NT,Old,A>T/T>A,2.64411105964496e-08
387,JW24-NP,RC,NT,Old,A>T/T>A,4.77423448770451e-08
388,JW24-R,RC,NT,Old,A>T/T>A,1.48204326370321e-07
389,JW26-NP,RC,NT,Old,A>T/T>A,2.79816205150721e-08
390,OM7-MS,RC,NT,Old,A>T/T>A,1.40919766404953e-07
391,OM8-MS,RC,NT,Old,A>T/T>A,1.31064821462714e-07
392,JW24-LF,He,NT,Old,A>T/T>A,6.3251729295502e-08
393,JW24-NP,He,NT,Old,A>T/T>A,3.15823455623144e-08
394,JW24-R,He,NT,Old,A>T/T>A,3.08884618158637e-08
395,JW26-NP,He,NT,Old,A>T/T>A,6.04158771785955e-08
396,OM7-MS,He,NT,Old,A>T/T>A,6.57475941969069e-08
397,OM8-MS,He,NT,Old,A>T/T>A,7.34662787071665e-08
398,JW24-LF,Hi,NT,Old,A>T/T>A,9.98444971878548e-08
399,JW24-NP,Hi,NT,Old,A>T/T>A,8.31231671803432e-08
400,JW24-R,Hi,NT,Old,A>T/T>A,1.33555876377175e-07
401,JW26-NP,Hi,NT,Old,A>T/T>A,3.87161712452905e-08
402,OM7-MS,Hi,NT,Old,A>T/T>A,1.58307658762705e-07
403,OM8-MS,Hi,NT,Old,A>T/T>A,1.23143291627574e-07
404,JW24-LF,K,NT,Old,A>T/T>A,9.65901352036113e-08
405,JW24-NP,K,NT,Old,A>T/T>A,1.66585462423567e-07
406,JW24-R,K,NT,Old,A>T/T>A,1.6588645046661e-07
407,JW26-NP,K,NT,Old,A>T/T>A,1.12850536335967e-07
408,OM7-MS,K,NT,Old,A>T/T>A,6.2574300137349e-08
409,OM8-MS,K,NT,Old,A>T/T>A,9.41952892095354e-08
410,JW24-LF,L,NT,Old,A>T/T>A,1.39599495561876e-07
411,JW24-NP,L,NT,Old,A>T/T>A,9.72967371085159e-08
412,JW24-R,L,NT,Old,A>T/T>A,1.35527434403494e-07
413,JW26-NP,L,NT,Old,A>T/T>A,1.76608414688765e-07
414,OM7-MS,L,NT,Old,A>T/T>A,1.26770316915017e-07
415,OM8-MS,L,NT,Old,A>T/T>A,1.26436513718804e-07
416,JW24-LF,M,NT,Old,A>T/T>A,6.63790354132511e-08
417,JW24-NP,M,NT,Old,A>T/T>A,7.68311927266676e-08
418,JW24-R,M,NT,Old,A>T/T>A,3.56311471133368e-08
419,JW26-NP,M,NT,Old,A>T/T>A,6.39314920360381e-08
420,OM7-MS,M,NT,Old,A>T/T>A,5.99760102813276e-08
421,OM8-MS,M,NT,Old,A>T/T>A,9.75675023203991e-08
422,JW24-LF,R,NT,Old,A>T/T>A,1.10399857981623e-07
423,JW24-NP,R,NT,Old,A>T/T>A,2.77872501426042e-08
424,JW24-R,R,NT,Old,A>T/T>A,4.82186585783274e-08
425,JW26-NP,R,NT,Old,A>T/T>A,7.27946991482438e-08
426,OM7-MS,R,NT,Old,A>T/T>A,1.96880995518516e-08
427,OM8-MS,R,NT,Old,A>T/T>A,8.83674225527624e-08
428,OM3-MS-P,B,perf,Old,A>T/T>A,9.95934367433078e-08
429,OM4-MS-P,B,perf,Old,A>T/T>A,7.43167982420807e-08
430,OM6-MS-P,B,perf,Old,A>T/T>A,4.93620713859609e-08
431,OM3-MS-P,C,perf,Old,A>T/T>A,4.43692710674506e-08
432,OM4-MS-P,C,perf,Old,A>T/T>A,5.6237162461739e-08
433,OM6-MS-P,C,perf,Old,A>T/T>A,5.77438251784905e-08
434,OM3-MS-P,Hi,perf,Old,A>T/T>A,1.83681682582991e-07
435,OM4-MS-P,Hi,perf,Old,A>T/T>A,4.67877907746567e-08
436,OM6-MS-P,Hi,perf,Old,A>T/T>A,7.4454513351113e-08
437,OM3-MS-P,K,perf,Old,A>T/T>A,9.38653775621235e-08
438,OM4-MS-P,K,perf,Old,A>T/T>A,7.39382205353529e-08
439,OM6-MS-P,K,perf,Old,A>T/T>A,8.95545030645999e-08
440,OM3-MS-P,L,perf,Old,A>T/T>A,1.56552577168246e-07
441,OM4-MS-P,L,perf,Old,A>T/T>A,1.85653017566303e-07
442,OM6-MS-P,L,perf,Old,A>T/T>A,1.38904551020093e-07
443,OM3-MS-P,M,perf,Old,A>T/T>A,4.93101878074305e-08
444,OM4-MS-P,M,perf,Old,A>T/T>A,4.46018018313957e-08
445,OM6-MS-P,M,perf,Old,A>T/T>A,1.7402668441646e-08
446,JW21-NP,C,SS31,Old,A>T/T>A,8.22204453470422e-08
447,JW21-R,C,SS31,Old,A>T/T>A,6.25861681147089e-08
448,JW22-LF,C,SS31,Old,A>T/T>A,9.3201461342993e-08
449,JW22-NP,C,SS31,Old,A>T/T>A,6.25609291315634e-08
450,JW55-RB,C,SS31,Old,A>T/T>A,2.65202501336952e-08
451,JW21-NP,RC,SS31,Old,A>T/T>A,6.76012494333325e-08
452,JW21-R,RC,SS31,Old,A>T/T>A,1.72084074083571e-07
453,JW22-LF,RC,SS31,Old,A>T/T>A,1.29389926324858e-07
454,JW22-NP,RC,SS31,Old,A>T/T>A,1.36815935975025e-07
455,JW55-RB,RC,SS31,Old,A>T/T>A,1.53082229363296e-07
456,JW21-NP,He,SS31,Old,A>T/T>A,8.31634568520844e-08
457,JW21-R,He,SS31,Old,A>T/T>A,5.6974657535589e-08
458,JW22-LF,He,SS31,Old,A>T/T>A,7.79617827442898e-08
459,JW22-NP,He,SS31,Old,A>T/T>A,4.90860576123942e-08
460,JW55-RB,He,SS31,Old,A>T/T>A,5.69005198609309e-08
461,JW21-NP,Hi,SS31,Old,A>T/T>A,1.12069681281821e-07
462,JW21-R,Hi,SS31,Old,A>T/T>A,1.07164538825445e-07
463,JW22-LF,Hi,SS31,Old,A>T/T>A,1.03806141718922e-07
464,JW22-NP,Hi,SS31,Old,A>T/T>A,7.21757070240236e-08
465,JW55-RB,Hi,SS31,Old,A>T/T>A,7.62167973589965e-08
466,JW21-NP,K,SS31,Old,A>T/T>A,1.15453707323605e-07
467,JW21-R,K,SS31,Old,A>T/T>A,9.03239305662071e-08
468,JW22-LF,K,SS31,Old,A>T/T>A,1.31031581613976e-07
469,JW22-NP,K,SS31,Old,A>T/T>A,7.9292103360217e-08
470,JW55-RB,K,SS31,Old,A>T/T>A,9.31879619764094e-08
471,JW21-NP,L,SS31,Old,A>T/T>A,1.65788533161499e-07
472,JW21-R,L,SS31,Old,A>T/T>A,9.35718304624404e-08
473,JW22-LF,L,SS31,Old,A>T/T>A,1.576500837821e-07
474,JW22-NP,L,SS31,Old,A>T/T>A,1.0186290869332e-07
475,JW55-RB,L,SS31,Old,A>T/T>A,1.56535282835341e-07
476,JW21-NP,M,SS31,Old,A>T/T>A,3.43300205121014e-08
477,JW21-R,M,SS31,Old,A>T/T>A,3.70499053611111e-08
478,JW22-LF,M,SS31,Old,A>T/T>A,2.87624761284931e-08
479,JW22-NP,M,SS31,Old,A>T/T>A,4.85226231999714e-08
480,JW55-RB,M,SS31,Old,A>T/T>A,5.28659760190946e-08
481,JW21-NP,R,SS31,Old,A>T/T>A,0.0
482,JW21-R,R,SS31,Old,A>T/T>A,6.25446310669215e-08
483,JW22-LF,R,SS31,Old,A>T/T>A,9.84122208081082e-08
484,JW22-NP,R,SS31,Old,A>T/T>A,4.66600894604563e-08
485,JW55-RB,R,SS31,Old,A>T/T>A,2.2630227454304e-08
486,JW27-LB,C,NMN,Old,A>T/T>A,5.71103379725076e-08
487,JW29-R,C,NMN,Old,A>T/T>A,1.03235887602547e-07
488,JW30-LF,C,NMN,Old,A>T/T>A,7.42826101215553e-08
489,JW27-LB,RC,NMN,Old,A>T/T>A,1.61638419825232e-07
490,JW29-R,RC,NMN,Old,A>T/T>A,1.0417549445466e-07
491,JW30-LF,RC,NMN,Old,A>T/T>A,1.3520660583421e-07
492,JW27-LB,He,NMN,Old,A>T/T>A,6.03278407917715e-08
493,JW29-R,He,NMN,Old,A>T/T>A,2.66488678286242e-08
494,JW30-LF,He,NMN,Old,A>T/T>A,7.102483935371e-09
495,JW27-LB,Hi,NMN,Old,A>T/T>A,8.39495480006426e-08
496,JW29-R,Hi,NMN,Old,A>T/T>A,1.15595817835787e-07
497,JW30-LF,Hi,NMN,Old,A>T/T>A,1.19228689170552e-07
498,JW27-LB,K,NMN,Old,A>T/T>A,7.10323008259612e-08
499,JW29-R,K,NMN,Old,A>T/T>A,1.2721231545479e-07
500,JW30-LF,K,NMN,Old,A>T/T>A,7.78701104442678e-08
501,JW27-LB,L,NMN,Old,A>T/T>A,8.5836275616075e-08
502,JW29-R,L,NMN,Old,A>T/T>A,1.09073136119165e-07
503,JW30-LF,L,NMN,Old,A>T/T>A,1.59545406433736e-07
504,JW27-LB,M,NMN,Old,A>T/T>A,6.3090592791639e-08
505,JW29-R,M,NMN,Old,A>T/T>A,2.99500019160514e-08
506,JW30-LF,M,NMN,Old,A>T/T>A,1.20472331855763e-07
507,JW27-LB,R,NMN,Old,A>T/T>A,5.6442873589101e-08
508,JW29-R,R,NMN,Old,A>T/T>A,2.71897806448133e-08
509,JW30-LF,R,NMN,Old,A>T/T>A,1.31634842139695e-07
510,YM13-MS,C,NT,Young,A>C/T>G,0.0
511,YM14-MS,C,NT,Young,A>C/T>G,1.130844025228e-08
512,YM3-MS,C,NT,Young,A>C/T>G,6.778176159809661e-09
513,YM5-MS,C,NT,Young,A>C/T>G,0.0
514,YM7-MS,C,NT,Young,A>C/T>G,0.0
515,YM13-MS,RC,NT,Young,A>C/T>G,1.72039676512764e-08
516,YM14-MS,RC,NT,Young,A>C/T>G,7.73280355174472e-09
517,YM3-MS,RC,NT,Young,A>C/T>G,1.5056190077775e-08
518,YM5-MS,RC,NT,Young,A>C/T>G,7.6365489601338e-09
519,YM7-MS,RC,NT,Young,A>C/T>G,3.49031285916683e-08
520,YM13-MS,He,NT,Young,A>C/T>G,0.0
521,YM14-MS,He,NT,Young,A>C/T>G,8.247784630614591e-09
522,YM3-MS,He,NT,Young,A>C/T>G,5.0768210343823906e-09
523,YM5-MS,He,NT,Young,A>C/T>G,0.0
524,YM7-MS,He,NT,Young,A>C/T>G,7.550377553609421e-09
525,YM13-MS,Hi,NT,Young,A>C/T>G,7.53768370748511e-09
526,YM14-MS,Hi,NT,Young,A>C/T>G,0.0
527,YM3-MS,Hi,NT,Young,A>C/T>G,0.0
528,YM5-MS,Hi,NT,Young,A>C/T>G,0.0
529,YM7-MS,Hi,NT,Young,A>C/T>G,0.0
530,YM13-MS,K,NT,Young,A>C/T>G,1.37259279993544e-08
531,YM14-MS,K,NT,Young,A>C/T>G,8.773448323762071e-09
532,YM3-MS,K,NT,Young,A>C/T>G,6.917380481534631e-09
533,YM5-MS,K,NT,Young,A>C/T>G,0.0
534,YM7-MS,K,NT,Young,A>C/T>G,1.69729720949657e-08
535,YM13-MS,L,NT,Young,A>C/T>G,3.3264712113127e-08
536,YM14-MS,L,NT,Young,A>C/T>G,2.13657657681141e-08
537,YM3-MS,L,NT,Young,A>C/T>G,2.07979404381926e-08
538,YM5-MS,L,NT,Young,A>C/T>G,3.85192477021439e-08
539,YM7-MS,L,NT,Young,A>C/T>G,2.80078058875321e-08
540,YM13-MS,M,NT,Young,A>C/T>G,0.0
541,YM14-MS,M,NT,Young,A>C/T>G,0.0
542,YM3-MS,M,NT,Young,A>C/T>G,0.0
543,YM5-MS,M,NT,Young,A>C/T>G,1.31568423625694e-08
544,YM7-MS,M,NT,Young,A>C/T>G,0.0
545,YM13-MS,R,NT,Young,A>C/T>G,1.23728626498416e-08
546,YM14-MS,R,NT,Young,A>C/T>G,1.16369024376413e-08
547,YM3-MS,R,NT,Young,A>C/T>G,3.61633885037167e-08
548,YM5-MS,R,NT,Young,A>C/T>G,7.791683057770591e-09
549,YM7-MS,R,NT,Young,A>C/T>G,0.0
550,JW24-LF,C,NT,Old,A>C/T>G,0.0
551,JW24-NP,C,NT,Old,A>C/T>G,1.18224012170547e-08
552,JW24-R,C,NT,Old,A>C/T>G,1.55518212695121e-08
553,JW26-NP,C,NT,Old,A>C/T>G,2.7915340180104e-08
554,OM7-MS,C,NT,Old,A>C/T>G,0.0
555,OM8-MS,C,NT,Old,A>C/T>G,0.0
556,JW24-LF,RC,NT,Old,A>C/T>G,5.28822211928992e-08
557,JW24-NP,RC,NT,Old,A>C/T>G,3.18282299180301e-08
558,JW24-R,RC,NT,Old,A>C/T>G,3.70510815925803e-08
559,JW26-NP,RC,NT,Old,A>C/T>G,1.86544136767147e-08
560,OM7-MS,RC,NT,Old,A>C/T>G,4.02627904014152e-08
561,OM8-MS,RC,NT,Old,A>C/T>G,9.17453750238997e-08
562,JW24-LF,He,NT,Old,A>C/T>G,0.0
563,JW24-NP,He,NT,Old,A>C/T>G,1.26329382249258e-08
564,JW24-R,He,NT,Old,A>C/T>G,2.05923078772425e-08
565,JW26-NP,He,NT,Old,A>C/T>G,0.0
566,OM7-MS,He,NT,Old,A>C/T>G,2.8177540370103e-08
567,OM8-MS,He,NT,Old,A>C/T>G,0.0
568,JW24-LF,Hi,NT,Old,A>C/T>G,1.24805621484818e-08
569,JW24-NP,Hi,NT,Old,A>C/T>G,9.235907464482581e-09
570,JW24-R,Hi,NT,Old,A>C/T>G,3.33889690942937e-08
571,JW26-NP,Hi,NT,Old,A>C/T>G,1.29053904150969e-08
572,OM7-MS,Hi,NT,Old,A>C/T>G,0.0
573,OM8-MS,Hi,NT,Old,A>C/T>G,1.23143291627574e-08
574,JW24-LF,K,NT,Old,A>C/T>G,3.62213007013543e-08
575,JW24-NP,K,NT,Old,A>C/T>G,0.0
576,JW24-R,K,NT,Old,A>C/T>G,3.07197130493722e-08
577,JW26-NP,K,NT,Old,A>C/T>G,3.76168454453223e-08
578,OM7-MS,K,NT,Old,A>C/T>G,1.56435750343373e-08
579,OM8-MS,K,NT,Old,A>C/T>G,2.17373744329697e-08
580,JW24-LF,L,NT,Old,A>C/T>G,1.74499369452345e-07
581,JW24-NP,L,NT,Old,A>C/T>G,8.80303811934192e-08
582,JW24-R,L,NT,Old,A>C/T>G,9.59985993691412e-08
583,JW26-NP,L,NT,Old,A>C/T>G,1.62479741513664e-07
584,OM7-MS,L,NT,Old,A>C/T>G,1.35825339551804e-07
585,OM8-MS,L,NT,Old,A>C/T>G,1.54533516767427e-07
586,JW24-LF,M,NT,Old,A>C/T>G,5.106079647173161e-09
587,JW24-NP,M,NT,Old,A>C/T>G,0.0
588,JW24-R,M,NT,Old,A>C/T>G,8.90778677833421e-09
589,JW26-NP,M,NT,Old,A>C/T>G,1.59828730090095e-08
590,OM7-MS,M,NT,Old,A>C/T>G,1.71360029375222e-08
591,OM8-MS,M,NT,Old,A>C/T>G,0.0
592,JW24-LF,R,NT,Old,A>C/T>G,1.83999763302704e-08
593,JW24-NP,R,NT,Old,A>C/T>G,5.55745002852083e-08
594,JW24-R,R,NT,Old,A>C/T>G,2.89311951469965e-08
595,JW26-NP,R,NT,Old,A>C/T>G,3.63973495741219e-08
596,OM7-MS,R,NT,Old,A>C/T>G,0.0
597,OM8-MS,R,NT,Old,A>C/T>G,8.03340205025113e-09
598,OM3-MS-P,B,perf,Old,A>C/T>G,4.68674996439095e-08
599,OM4-MS-P,B,perf,Old,A>C/T>G,4.95445321613872e-08
600,OM6-MS-P,B,perf,Old,A>C/T>G,1.41034489674174e-08
601,OM3-MS-P,C,perf,Old,A>C/T>G,1.77477084269802e-08
602,OM4-MS-P,C,perf,Old,A>C/T>G,2.81185812308695e-08
603,OM6-MS-P,C,perf,Old,A>C/T>G,0.0
604,OM3-MS-P,Hi,perf,Old,A>C/T>G,4.23880805960748e-08
605,OM4-MS-P,Hi,perf,Old,A>C/T>G,2.8072674464794e-08
606,OM6-MS-P,Hi,perf,Old,A>C/T>G,8.27272370567922e-09
607,OM3-MS-P,K,perf,Old,A>C/T>G,9.38653775621235e-09
608,OM4-MS-P,K,perf,Old,A>C/T>G,1.47876441070706e-08
609,OM6-MS-P,K,perf,Old,A>C/T>G,2.98515010215333e-08
610,OM3-MS-P,L,perf,Old,A>C/T>G,8.38674520544174e-08
611,OM4-MS-P,L,perf,Old,A>C/T>G,2.49917523646946e-07
612,OM6-MS-P,L,perf,Old,A>C/T>G,1.62055309523442e-07
613,OM3-MS-P,M,perf,Old,A>C/T>G,1.40886250878373e-08
614,OM4-MS-P,M,perf,Old,A>C/T>G,1.11504504578489e-08
615,OM6-MS-P,M,perf,Old,A>C/T>G,3.48053368832921e-08
616,JW21-NP,C,SS31,Old,A>C/T>G,0.0
617,JW21-R,C,SS31,Old,A>C/T>G,0.0
618,JW22-LF,C,SS31,Old,A>C/T>G,0.0
619,JW22-NP,C,SS31,Old,A>C/T>G,2.08536430438545e-08
620,JW55-RB,C,SS31,Old,A>C/T>G,2.65202501336952e-08
621,JW21-NP,RC,SS31,Old,A>C/T>G,1.69003123583331e-08
622,JW21-R,RC,SS31,Old,A>C/T>G,0.0
623,JW22-LF,RC,SS31,Old,A>C/T>G,3.45039803532956e-08
624,JW22-NP,RC,SS31,Old,A>C/T>G,4.20972110692385e-08
625,JW55-RB,RC,SS31,Old,A>C/T>G,1.53082229363296e-07
626,JW21-NP,He,SS31,Old,A>C/T>G,2.26809427778412e-08
627,JW21-R,He,SS31,Old,A>C/T>G,3.41847945213534e-08
628,JW22-LF,He,SS31,Old,A>C/T>G,3.89808913721449e-08
629,JW22-NP,He,SS31,Old,A>C/T>G,1.47258172837183e-08
630,JW55-RB,He,SS31,Old,A>C/T>G,0.0
631,JW21-NP,Hi,SS31,Old,A>C/T>G,0.0
632,JW21-R,Hi,SS31,Old,A>C/T>G,2.14329077650889e-08
633,JW22-LF,Hi,SS31,Old,A>C/T>G,0.0
634,JW22-NP,Hi,SS31,Old,A>C/T>G,1.44351414048047e-08
635,JW55-RB,Hi,SS31,Old,A>C/T>G,1.52433594717993e-08
636,JW21-NP,K,SS31,Old,A>C/T>G,1.15453707323605e-08
637,JW21-R,K,SS31,Old,A>C/T>G,2.85233464945917e-08
638,JW22-LF,K,SS31,Old,A>C/T>G,5.45964923391567e-08
639,JW22-NP,K,SS31,Old,A>C/T>G,7.9292103360217e-08
640,JW55-RB,K,SS31,Old,A>C/T>G,6.6562829983149605e-09
641,JW21-NP,L,SS31,Old,A>C/T>G,1.45064966516312e-07
642,JW21-R,L,SS31,Old,A>C/T>G,1.78637130882841e-07
643,JW22-LF,L,SS31,Old,A>C/T>G,1.61798770197418e-07
644,JW22-NP,L,SS31,Old,A>C/T>G,1.0186290869332e-07
645,JW55-RB,L,SS31,Old,A>C/T>G,1.73928092039268e-07
646,JW21-NP,M,SS31,Old,A>C/T>G,2.57475153840761e-08
647,JW21-R,M,SS31,Old,A>C/T>G,0.0
648,JW22-LF,M,SS31,Old,A>C/T>G,2.87624761284931e-08
649,JW22-NP,M,SS31,Old,A>C/T>G,0.0
650,JW55-RB,M,SS31,Old,A>C/T>G,0.0
651,JW21-NP,R,SS31,Old,A>C/T>G,0.0
652,JW21-R,R,SS31,Old,A>C/T>G,0.0
653,JW22-LF,R,SS31,Old,A>C/T>G,0.0
654,JW22-NP,R,SS31,Old,A>C/T>G,4.66600894604563e-08
655,JW55-RB,R,SS31,Old,A>C/T>G,1.50868183028693e-08
656,JW27-LB,C,NMN,Old,A>C/T>G,0.0
657,JW29-R,C,NMN,Old,A>C/T>G,1.72059812670911e-08
658,JW30-LF,C,NMN,Old,A>C/T>G,0.0
659,JW27-LB,RC,NMN,Old,A>C/T>G,4.71445391156928e-08
660,JW29-R,RC,NMN,Old,A>C/T>G,1.0417549445466e-07
661,JW30-LF,RC,NMN,Old,A>C/T>G,6.00918248152045e-08
662,JW27-LB,He,NMN,Old,A>C/T>G,0.0
663,JW29-R,He,NMN,Old,A>C/T>G,8.882955942874742e-09
664,JW30-LF,He,NMN,Old,A>C/T>G,7.102483935371e-09
665,JW27-LB,Hi,NMN,Old,A>C/T>G,2.39855851430407e-08
666,JW29-R,Hi,NMN,Old,A>C/T>G,0.0
667,JW30-LF,Hi,NMN,Old,A>C/T>G,0.0
668,JW27-LB,K,NMN,Old,A>C/T>G,8.28710176302881e-08
669,JW29-R,K,NMN,Old,A>C/T>G,8.48082103031934e-09
670,JW30-LF,K,NMN,Old,A>C/T>G,2.33610331332803e-08
671,JW27-LB,L,NMN,Old,A>C/T>G,1.7167255123215e-07
672,JW29-R,L,NMN,Old,A>C/T>G,7.27154240794436e-08
673,JW30-LF,L,NMN,Old,A>C/T>G,1.59545406433736e-07
674,JW27-LB,M,NMN,Old,A>C/T>G,7.01006586573767e-09
675,JW29-R,M,NMN,Old,A>C/T>G,0.0
676,JW30-LF,M,NMN,Old,A>C/T>G,1.33858146506403e-08
677,JW27-LB,R,NMN,Old,A>C/T>G,1.41107183972753e-08
678,JW29-R,R,NMN,Old,A>C/T>G,0.0
679,JW30-LF,R,NMN,Old,A>C/T>G,0.0
680,YM13-MS,C,NT,Young,A>G/T>C,1.40485610992092e-07
681,YM14-MS,C,NT,Young,A>G/T>C,1.4700972327964e-07
682,YM3-MS,C,NT,Young,A>G/T>C,1.83010756314861e-07
683,YM5-MS,C,NT,Young,A>G/T>C,2.96608154619895e-07
684,YM7-MS,C,NT,Young,A>G/T>C,1.85088548695421e-07
685,YM13-MS,RC,NT,Young,A>G/T>C,1.8924364416404e-07
686,YM14-MS,RC,NT,Young,A>G/T>C,3.09312142069789e-07
687,YM3-MS,RC,NT,Young,A>G/T>C,3.16179991633275e-07
688,YM5-MS,RC,NT,Young,A>G/T>C,3.28371605285753e-07
689,YM7-MS,RC,NT,Young,A>G/T>C,2.61773464437512e-07
690,YM13-MS,He,NT,Young,A>G/T>C,1.7702046586712e-07
691,YM14-MS,He,NT,Young,A>G/T>C,1.23716769459219e-07
692,YM3-MS,He,NT,Young,A>G/T>C,1.11690062756412e-07
693,YM5-MS,He,NT,Young,A>G/T>C,1.71461648830083e-07
694,YM7-MS,He,NT,Young,A>G/T>C,2.6426321437633e-07
695,YM13-MS,Hi,NT,Young,A>G/T>C,7.53768370748511e-08
696,YM14-MS,Hi,NT,Young,A>G/T>C,1.2518224523048e-07
697,YM3-MS,Hi,NT,Young,A>G/T>C,1.05657359943773e-07
698,YM5-MS,Hi,NT,Young,A>G/T>C,1.16508327844153e-07
699,YM7-MS,Hi,NT,Young,A>G/T>C,1.90236261437187e-07
700,YM13-MS,K,NT,Young,A>G/T>C,3.63737091982893e-07
701,YM14-MS,K,NT,Young,A>G/T>C,3.33391036302959e-07
702,YM3-MS,K,NT,Young,A>G/T>C,3.45869024076731e-07
703,YM5-MS,K,NT,Young,A>G/T>C,2.31256201345272e-07
704,YM7-MS,K,NT,Young,A>G/T>C,4.07351330279177e-07
705,YM13-MS,L,NT,Young,A>G/T>C,3.16014765074707e-07
706,YM14-MS,L,NT,Young,A>G/T>C,2.99120720753597e-07
707,YM3-MS,L,NT,Young,A>G/T>C,4.88751600297527e-07
708,YM5-MS,L,NT,Young,A>G/T>C,3.08153981617151e-07
709,YM7-MS,L,NT,Young,A>G/T>C,1.86718705916881e-07
710,YM13-MS,M,NT,Young,A>G/T>C,2.87940952294442e-07
711,YM14-MS,M,NT,Young,A>G/T>C,2.53909324683229e-07
712,YM3-MS,M,NT,Young,A>G/T>C,2.46858553477448e-07
713,YM5-MS,M,NT,Young,A>G/T>C,1.90774214257257e-07
714,YM7-MS,M,NT,Young,A>G/T>C,1.10812577239829e-07
715,YM13-MS,R,NT,Young,A>G/T>C,1.11355763848574e-07
716,YM14-MS,R,NT,Young,A>G/T>C,2.32738048752826e-07
717,YM3-MS,R,NT,Young,A>G/T>C,1.0849016551115e-07
718,YM5-MS,R,NT,Young,A>G/T>C,1.324586119821e-07
719,YM7-MS,R,NT,Young,A>G/T>C,2.27957345351001e-07
720,JW24-LF,C,NT,Old,A>G/T>C,4.11226967760107e-07
721,JW24-NP,C,NT,Old,A>G/T>C,4.66984848073662e-07
722,JW24-R,C,NT,Old,A>G/T>C,5.20986012528656e-07
723,JW26-NP,C,NT,Old,A>G/T>C,3.16373855374512e-07
724,OM7-MS,C,NT,Old,A>G/T>C,3.34177623817196e-07
725,OM8-MS,C,NT,Old,A>G/T>C,4.2638806201397e-07
726,JW24-LF,RC,NT,Old,A>G/T>C,5.28822211928992e-07
727,JW24-NP,RC,NT,Old,A>G/T>C,8.11619862909766e-07
728,JW24-R,RC,NT,Old,A>G/T>C,6.81739901303477e-07
729,JW26-NP,RC,NT,Old,A>G/T>C,5.78286823978156e-07
730,OM7-MS,RC,NT,Old,A>G/T>C,1.14748952644033e-06
731,OM8-MS,RC,NT,Old,A>G/T>C,9.4366671453154e-07
732,JW24-LF,He,NT,Old,A>G/T>C,5.15049795691945e-07
733,JW24-NP,He,NT,Old,A>G/T>C,6.69545725921066e-07
734,JW24-R,He,NT,Old,A>G/T>C,5.25103850869683e-07
735,JW26-NP,He,NT,Old,A>G/T>C,6.12789611382897e-07
736,OM7-MS,He,NT,Old,A>G/T>C,6.48083428512368e-07
737,OM8-MS,He,NT,Old,A>G/T>C,4.49980957081395e-07
